微信为什么还是不可以电脑和ipad同时登陆	ASK
买衣服，买鞋，买生活用品，打车，吃饭，转账。在生活中无处不在的提供方便	GF
是否应该添加一个写日志提醒的闹钟或者通知提醒	ADV
入群验证能否加个验证提示，像QQ群入群验证一样，有个加群的条件提示	ADV
一个财务管理软件竟然占用了我一百多兆，身为小内存用户不得不吐槽一下了	BF
更新后的微信太日龙了，微信更新后，腾讯视频会员微信账号登录不了了，很多授权的app会员都登录不上了，老子表示百分之一百不满意	BR
腾讯视频现在真是飘了，都卸载就不这样了，都VIP了，看个电影，电视剧还得额外花钱。都没人用就好了	BF
垃圾，广告那么多就想让冲会员，偏不充	BF
Y10感谢腾讯视频，陪伴我的每一天，希望你们永远优秀下去	GF
文字信息发不出去，图片秒发的节奏	BR
H6美剧全，画质清晰，方便好用	GF
一直崩一直无法播放歌单一直闪退	BR
如题，没有清除缓存的选项看着还是有些不舒服哒，希望工程师大大加入进去	ADV
很喜欢，每一次更新都在进步，一如既往的支持	GF
很好，很不错的播放器，个人感觉比PPS等强很多，我们提的建议也能及时改进，但是有一点我不明白，为啥手机QQ就做得如此失败呢	ASK
用着挺不错，就是会员有点小贵	ADV
朋友圈明明设置的三天可见，可别人偏偏看不见三天可见这几个字，直接变成一条横线，就跟屏蔽了别人一样。什么垃圾bug啊，所有人都来问，烦死了	BR
只要无安全隐患，会一直用下去	GF
最初以为是类似豆瓣电台的个人网络电台类应用，用了几天才发现可以代替很多在线音乐类软件了，曲库十分丰富，分享功能也很好，整个感觉都不错，很惊喜	GF
推送消息会粘在通知面板上，删也删不掉，以往的消息总是留在面板上天天能看见好烦，只能重启手机。天天重启，以为升级新版本微信就好了，然而还是一个德行，强迫症看着真郁闷	BR
免费的还很好用。功能很多	GF
很好用，也方便，只是自从同事手机丢了，用我手机登录一次他的钉钉账号后，我发给他的消息打给他的短信都转我手机上了，怎样可以彻底注销他的登录啊	ASK
不是最好的听歌软件，却是最走心的听歌软件	GF
用过这个之后再也不想用别的了，推荐的音乐相当对胃口	GF
手表应用无法打卡，差评	BF
完全更新不了卸载也重装不了你都我玩儿啦	BR
真的很不错，很多好听的音乐	GF
知道账号密码登录却显示在新设备上登录要验证短信，我的卡早扔了导致以前的号登录不上去，里面的东西对我很重要，打客服也没用，我知道账号密码都不足以证明我是该账号的主人嘛？醉了，卸载了。有账号有密码却登录不了，服气	BR
别给我们更新点么用的东西，浪费流量，要更新就更新点有用的，我们是手机用户	BF
卡卡卡卡死了。投屏也特么投不上。爱奇艺除非网不好的时候会卡，但是腾讯真的是无缘无故卡	BR
最喜欢的音乐软件干净温馨	GF
更新之前指纹支付好用，更新至8。5后指纹支付失效，再也无法录入指纹	BR
车载蓝牙连接上之后，每句歌词和专辑图一起跳动，手机也是换一句歌词屏幕亮一下，希望修复此bug	BR
交接事项用手机？就你屏幕大是吗？为什么电脑版不能填	BF
为什么下载完的微信没有到手机桌面上	ASK
腾讯给我们带来很多精彩的生活美满。我也很喜欢腾讯的服务。我祝你们以后越来越更好，越来越发展	GF
6s3d_touch快捷功能里面其他功能正常，只有乘车码这一项有问题，具体是选择之后只显示支付宝主页面，不会跳转到乘车码那里	BR
图标都变了，打开页面也很奇怪。就像缩小了页面	BR
特地没更新，取消了app_store的自动更新，结果早上起来防不胜防啊。给我自动更新了说是，真的贼丑，搞得跟新版微博或者新版QQ一样，老年人既视感，颜色也丑	BF
微信特别好玩，里面有小程序等	GF
微信watch应用希望能够支持乘车码	ADV
口区，恶心，从此再也不见，垃圾网易，毁我青春，公平公正只是靠嘴说？刷票不清了解一下？装死	BF
退我会员费，早点下架吧，不舍得花钱买版权就不要玩了，好好养猪就是了	BF
很好用，减少了许多麻烦	GF
日韩动漫只有2部，不是吧	BF
已经很不错了，希望能增加更多无损音乐，另外安卓版希望可以增加类似于ios的高清大屏版本	ADV
不知道怎么回事，我刚买的手机怎么下载不了支付宝和58同城的APP	BR
把资产余额，明细放在三级菜单？请尊重每一位支付宝用户对自己资产及明细账单的查看习惯和重视。不要想用如此拙劣的手法淡化数字金钱观念	ADV
叼你老母，出个这么白痴的软件	BF
就是有时候已经离线好的剧会卡顿	BR
闲的没事开发这种远程监视的鬼app	BF
无语了，更新不了，一直显示此时无法安装，搞得微信打也打不开，想着删了重新下一个，结果连下都下不了了，不晓得是我机子的问题还是什么的	BR
垃圾，更新之后用4g根本用不了	BF
很早就听说了，但最近换工作了才开始使用钉钉，整体觉得还挺好的	GF
初步上手感觉不错，比上一个版本好不少	GF
新版，我的，界面改的乱七八糟的，什么都找不到，不像以前那么一目了然，相比之下还是喜欢之前版本	BF
以前的网易云音乐UI页面都很完美，要什么直接点，现在都是为了会员，页面都大改，没有以前的精致，不喜欢	BF
新版本的聊天文件呢？聊天文件呢？原来发送过的图片、视频、文件等点开聊天文件一目了然，现在居然没有了。找很久以前发的文件手都要翻断了	BR
体验完后满心期待，希望能越来越好	GF
新版本的录音的样式没有之前的好，改成这样有什么意义呢。吃饱没事做的脑残人想这些没实用的	BF
这是我听过最好的音乐播放器	GF
Iphone6s，后台关闭后，打开软件才有消息通知，那么多程序员难道是猪吗	BR
希望日报功能可以放到更容易找的位置	ADV
建议加一个建立群聊的时候需要人同意的功能，莫名其妙的被拉进一个群很恶心的，有些都是一般朋友被拉进一个群还不好意思推出，真的很不爽	ADV
搞不懂国内很多大公司的App总是手机的放大版，丑到死，很多时候还显示不全，专门为iPad适配一个App很难吗	BF
第一次给苹果的软件评价，实在是忍无可忍了。更新了新版本，但是集分宝不能还信用卡了，操作上完全不如上一版本，能不能赶紧完善阿。或者出个更新不好用，能后退版本的插件阿。疯了。支付宝彻底瘫痪	BF
为什么ios系统不能改微信提示音了，求解决啊	ASK
希望微信可以增加一个，批量删除好友的功能，一家公司工作，整个公司的人或是其他方面的人员都要加上好友了，等离开这家公司这个好友要一个个删除真的很麻烦。我每个月谁都要抽筋，删的想吐	ADV
什么破软件，侵犯隐私，功能也不好用，差评	BF
越更新越不好用了，iOS都找不到停用漂流瓶的功能了	BF
